card_id,name,set_code,supertype,subtypes,types,rarity,hp,retreat_count,is_basic,is_stage1,is_stage2,flavor_text,num_attacks,max_damage,min_cost,max_cost,avg_dpe,has_ability,num_abilities,txt_draw,txt_search,txt_heal,txt_status,txt_accel,txt_discard,txt_coin,txt_counter,txt_switch,txt_prevent,attack_text
base1-25,Dewgong,base1,Pokémon,Stage 1,Water,Uncommon,80.0,3,0,1,0,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,2,50,3,4,12.083333333333334,0,0,0,0,0,1,0,0,1,0,0,0," Flip a coin. If heads, the Defending Pokémon is now Paralyzed. "
base1-26,Dratini,base1,Pokémon,Basic,Colorless,Uncommon,40.0,1,1,0,0,"Long considered a mythical Pokémon until recently, when a small colony was found living underwater.",1,10,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-27,Farfetch'd,base1,Pokémon,Basic,Colorless,Uncommon,50.0,1,1,0,0,The sprig of green onions it holds is its weapon. This sprig is used much like a metal sword.,2,30,1,3,20.0,0,0,0,0,0,0,0,0,1,0,0,0,"Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again).  "
base1-28,Growlithe,base1,Pokémon,Basic,Fire,Uncommon,60.0,1,1,0,0,Very protective of its territory. It will bark and bite to repel intruders from its space.,1,20,2,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-29,Haunter,base1,Pokémon,Stage 1,Psychic,Uncommon,60.0,1,0,1,0,"Because of its ability to slip through block walls, it is said to be from another dimension.",2,50,1,2,12.5,0,0,0,0,0,1,0,0,0,0,0,0,The Defending Pokémon is now Asleep. You can't use this attack unless the Defending Pokémon is Asleep. 
base1-30,Ivysaur,base1,Pokémon,Stage 1,Grass,Uncommon,60.0,1,0,1,0,"When the bulb on its back grows large, the Pokémon seems to lose the ability to stand on its hind legs.",2,30,3,3,8.333333333333334,0,0,0,0,0,1,0,0,0,0,0,0, The Defending Pokémon is now Poisoned. 
base1-31,Jynx,base1,Pokémon,Basic,Psychic,Uncommon,70.0,2,1,0,0,"Merely by meditating, the Pokémon launches a powerful psychic energy attack.",2,20,1,3,8.333333333333334,0,0,0,0,0,0,0,0,0,1,0,0,Flip 2 coins. This attack does 10 damage times the number of heads. Does 20 damage plus 10 more damage for each damage counter on the Defending Pokémon. 
base1-32,Kadabra,base1,Pokémon,Stage 1,Psychic,Uncommon,60.0,3,0,1,0,It emits special alpha waves from its body that induce headaches even to those just nearby.,2,50,2,3,8.333333333333334,0,0,0,0,1,0,0,1,0,1,0,0,Discard 1 Psychic Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra.  
base1-33,Kakuna,base1,Pokémon,Stage 1,Grass,Uncommon,80.0,2,0,1,0,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators.",2,20,2,2,5.0,0,0,0,0,0,1,0,0,1,0,0,1,"Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.) Flip a coin. If heads, the Defending Pokémon is now Poisoned. "
base1-34,Machoke,base1,Pokémon,Stage 1,Fighting,Uncommon,80.0,3,0,1,0,Its muscular body is so powerful that it must wear a power-save belt to help regulate its motions.,2,60,3,4,15.833333333333334,0,0,0,0,0,0,0,0,0,1,0,0,Does 50 damage minus 10 damage for each damage counter on Machoke. Machoke does 20 damage to itself. 
base1-35,Magikarp,base1,Pokémon,Basic,Water,Uncommon,30.0,1,1,0,0,"In the distant past, it was stronger than its horribly weak descendants that exist today.",2,10,1,1,10.0,0,0,0,0,0,0,0,0,0,1,0,0, Does 10 damage times the number of damage counters on Magikarp. 
base1-36,Magmar,base1,Pokémon,Basic,Fire,Uncommon,50.0,2,1,0,0,Its body always burns with an orange glow that enables it to hide perfectly among flames.,2,50,2,3,15.833333333333334,0,0,0,0,0,0,0,1,0,0,0,0, Discard 1 Fire Energy card attached to Magmar in order to use this attack. 
base1-37,Nidorino,base1,Pokémon,Stage 1,Grass,Uncommon,60.0,1,0,1,0,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.,2,50,3,4,11.25,0,0,0,0,0,0,0,0,0,0,0,0,Flip 2 coins. This attack does 30 damage times the number of heads.  
base1-38,Poliwhirl,base1,Pokémon,Stage 1,Water,Uncommon,60.0,1,0,1,0,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",2,30,2,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn. Flip 2 coins. This attack does 30 damage times the number of heads. 
base1-39,Porygon,base1,Pokémon,Basic,Colorless,Uncommon,30.0,1,1,0,0,A Pokémon that consists entirely of programming code. Capable of moving freely in cyberspace.,2,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,"If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless. Change Porygon's Resistance to a type of your choice other than Colorless. "
base1-40,Raticate,base1,Pokémon,Stage 1,Colorless,Uncommon,60.0,1,0,1,0,It uses its whiskers to maintain its balance. It seems to slow down if they are cut off.,2,20,1,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0, Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10). 
base1-41,Seel,base1,Pokémon,Basic,Water,Uncommon,60.0,1,1,0,0,The protruding horn on its head is very hard. This horn is used for bashing through thick ice.,1,10,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-42,Wartortle,base1,Pokémon,Stage 1,Water,Uncommon,70.0,1,0,1,0,"Often hides in water to stalk unweary prey. When swimming quickly, it moves its ears to maintain balance.",2,40,2,3,6.666666666666667,0,0,0,0,0,0,0,0,1,0,0,1,"Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.)  "
base1-43,Abra,base1,Pokémon,Basic,Psychic,Common,30.0,0,1,0,0,"Using its ability to read minds, it will identify impending danger and teleport to safety.",1,10,1,1,10.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. "
base1-44,Bulbasaur,base1,Pokémon,Basic,Grass,Common,40.0,1,1,0,0,"A strange seed was planted on its back at birth. Thus, a plant sprouted and now grows with this Pokémon.",1,20,2,2,10.0,0,0,0,0,1,0,0,0,0,1,0,1,"Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur. "
base1-45,Caterpie,base1,Pokémon,Basic,Grass,Common,40.0,1,1,0,0,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,1,10,1,1,10.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. "
base1-46,Charmander,base1,Pokémon,Basic,Fire,Common,50.0,1,1,0,0,"Obviously prefers hot places. If it gets caught in the rain, steam is said to spout from the tip of its tail.",2,30,1,2,12.5,0,0,0,0,0,0,0,1,0,0,0,0, Discard 1 Fire Energy card attached to Charmander in order to use this attack. 
base1-47,Diglett,base1,Pokémon,Basic,Fighting,Common,30.0,0,1,0,0,"Lives about three feet underground, where it feeds on plant roots. It sometimes appears above ground.",2,30,1,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,  
base1-48,Doduo,base1,Pokémon,Basic,Colorless,Common,50.0,0,1,0,0,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,1,10,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,Flip 2 coins. This attack does 10 damage times the number of heads. 
base1-49,Drowzee,base1,Pokémon,Basic,Psychic,Common,50.0,1,1,0,0,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams.",2,10,1,2,7.5,0,0,0,0,0,1,0,0,1,0,0,0," Flip a coin. If heads, the Defending Pokémon is now Confused. "
base1-50,Gastly,base1,Pokémon,Basic,Psychic,Common,30.0,0,1,0,0,"Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice.",2,0,1,2,0.0,0,0,0,0,0,1,0,1,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Asleep. Discard 1 Psychic Energy card attached to Gastly in order to use this attack. If a Pokémon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokémon. "
base1-51,Koffing,base1,Pokémon,Basic,Grass,Common,50.0,1,1,0,0,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",1,10,2,2,5.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Poisoned; if tails, it is now Confused. "
base1-52,Machop,base1,Pokémon,Basic,Fighting,Common,50.0,1,1,0,0,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,1,20,1,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-53,Magnemite,base1,Pokémon,Basic,Lightning,Common,40.0,1,1,0,0,Uses anti-gravity to stay suspended. Appears without warning and uses attacks like Thunder Wave.,2,40,1,2,15.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magnemite does 40 damage to itself. "
base1-54,Metapod,base1,Pokémon,Stage 1,Grass,Common,70.0,2,0,1,0,"It is vulnerable to attack because its shell is soft, exposing its weak and tender body.",2,20,2,2,5.0,0,0,0,0,0,1,0,0,1,0,0,1,"Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.) Flip a coin. If heads, the Defending Pokémon is now Paralyzed. "
base1-55,Nidoran ♂,base1,Pokémon,Basic,Grass,Common,40.0,1,1,0,0,"Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom.",1,30,1,1,30.0,0,0,0,0,0,0,0,0,1,0,0,0,"Flip a coin. If tails, this attack does nothing. "
base1-56,Onix,base1,Pokémon,Basic,Fighting,Common,90.0,3,1,0,0,"As it grows, the stone portions of its body harden to become similar to a diamond, though colored black.",2,10,1,2,5.0,0,0,0,0,0,0,0,0,0,0,0,1," During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) "
base1-57,Pidgey,base1,Pokémon,Basic,Colorless,Common,40.0,1,1,0,0,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,1,10,2,2,5.0,0,0,0,0,0,0,0,0,0,0,1,0,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.) "
base1-58,Pikachu,base1,Pokémon,Basic,Lightning,Common,40.0,1,1,0,0,"When several of these Pokémon gather, their electricity can cause lightning storms.",2,30,1,2,12.5,0,0,0,0,0,0,0,0,1,0,0,0," Flip a coin. If tails, Pikachu does 10 damage to itself. "
base1-59,Poliwag,base1,Pokémon,Basic,Water,Common,40.0,1,1,0,0,Its newly grown legs prevent it from running. It appears to prefer swimming over trying to stand.,1,10,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,Does 10 damage plus 10 more damage for each Water Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd don't count. 
base1-60,Ponyta,base1,Pokémon,Basic,Fire,Common,40.0,1,1,0,0,Its hooves are 10 times harder than diamonds. It can trample anything flat in moments.,2,30,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,  
base1-61,Rattata,base1,Pokémon,Basic,Colorless,Common,30.0,0,1,0,0,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",1,20,1,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-62,Sandshrew,base1,Pokémon,Basic,Fighting,Common,40.0,1,1,0,0,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,1,10,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing. "
base1-63,Squirtle,base1,Pokémon,Basic,Water,Common,40.0,1,1,0,0,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth.",2,10,1,2,5.0,0,0,0,0,0,1,0,0,1,0,0,1,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of attacks still happen.) "
base1-64,Starmie,base1,Pokémon,Stage 1,Water,Common,60.0,1,0,1,0,Its central core glows with the seven colors of the rainbow. Some people value this core as a gem.,2,20,2,3,3.3333333333333335,0,0,0,0,1,1,0,1,1,1,0,0,"Discard 1 Water Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie. Flip a coin. If heads, the Defending Pokémon is now Paralyzed. "
base1-65,Staryu,base1,Pokémon,Basic,Water,Common,40.0,1,1,0,0,An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.,1,20,1,1,20.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-66,Tangela,base1,Pokémon,Basic,Grass,Common,50.0,2,1,0,0,Its whole body is swathed with wide vines that are similar to seaweed. These vines shake as it walks.,2,20,2,3,8.333333333333334,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. The Defending Pokémon is now Poisoned. "
base1-67,Voltorb,base1,Pokémon,Basic,Lightning,Common,40.0,1,1,0,0,"Usually found in power plants. Easily mistaken for a Monster Ball, it has zapped many people.",1,10,1,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-68,Vulpix,base1,Pokémon,Basic,Fire,Common,50.0,1,1,0,0,"At the time of birth, it has just one tail. Its tail splits from the tip as it grows older.",1,10,2,2,5.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Confused. "
base1-69,Weedle,base1,Pokémon,Basic,Grass,Common,40.0,1,1,0,0,"Often found in forests, eating leaves. It has a sharp, venomous stinger on its head.",1,10,1,1,10.0,0,0,0,0,0,1,0,0,1,0,0,0,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. "
base1-70,Clefairy Doll,base1,Trainer,,,Rare,10.0,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-71,Computer Search,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-72,Devolution Spray,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-73,Impostor Professor Oak,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-74,Item Finder,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-75,Lass,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-76,Pokémon Breeder,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-77,Pokémon Trader,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-78,Scoop Up,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-79,Super Energy Removal,base1,Trainer,,,Rare,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-80,Defender,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-81,Energy Retrieval,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-82,Full Heal,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-83,Maintenance,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-84,PlusPower,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-85,Pokémon Center,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-86,Pokémon Flute,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-87,Pokédex,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-88,Professor Oak,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-89,Revive,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-90,Super Potion,base1,Trainer,,,Uncommon,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-91,Bill,base1,Trainer,,,Common,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-92,Energy Removal,base1,Trainer,,,Common,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-93,Gust of Wind,base1,Trainer,,,Common,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
base1-94,Potion,base1,Trainer,,,Common,,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0, 
