card_id,name,set_code,supertype,subtypes,hp,types,evolves_from,retreat_cost,weaknesses,rarity,attacks_json,abilities_json,flavor_text
base1-11,Nidoking,base1,Pokémon,Stage 2,90,Grass,Nidorino,Colorless|Colorless|Colorless,Psychic,Rare Holo,"[{""name"": ""Thrash"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.""}, {""name"": ""Toxic"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).""}]",[],"Uses its powerful tail in battle to smash, constrict, then break its prey's bones."
base1-12,Ninetales,base1,Pokémon,Stage 1,80,Fire,Vulpix,Colorless,Water,Rare Holo,"[{""name"": ""Lure"", ""cost"": [""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.""}, {""name"": ""Fire Blast"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""damage"": ""80"", ""text"": ""Discard 1 Fire Energy card attached to Ninetales in order to use this attack.""}]",[],"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
base1-13,Poliwrath,base1,Pokémon,Stage 2,90,Water,Poliwhirl,Colorless|Colorless|Colorless,Grass,Rare Holo,"[{""name"": ""Water Gun"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.""}, {""name"": ""Whirlpool"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""damage"": ""40"", ""text"": ""If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.""}]",[],An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
base1-14,Raichu,base1,Pokémon,Stage 1,80,Lightning,Pikachu,Colorless,Fighting,Rare Holo,"[{""name"": ""Agility"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""damage"": ""20"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.""}, {""name"": ""Thunder"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Colorless""], ""damage"": ""60"", ""text"": ""Flip a coin. If tails, Raichu does 30 damage to itself.""}]",[],Its long tail serves as a ground to protect itself from its own high-voltage power.
base1-15,Venusaur,base1,Pokémon,Stage 2,100,Grass,Ivysaur,Colorless|Colorless,Fire,Rare Holo,"[{""name"": ""Solarbeam"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Grass""], ""damage"": ""60"", ""text"": """"}]","[{""name"": ""Energy Trans"", ""type"": ""Pokémon Power"", ""text"": ""As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.""}]",This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
base1-16,Zapdos,base1,Pokémon,Basic,90,Lightning,,Colorless|Colorless|Colorless,,Rare Holo,"[{""name"": ""Thunder"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Colorless""], ""damage"": ""60"", ""text"": ""Flip a coin. If tails, Zapdos does 30 damage to itself.""}, {""name"": ""Thunderbolt"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Lightning""], ""damage"": ""100"", ""text"": ""Discard all Energy cards attached to Zapdos in order to use this attack.""}]",[],A legendary bird Pokémon said to appear from clouds while wielding enormous lightning bolts.
base1-17,Beedrill,base1,Pokémon,Stage 2,80,Grass,Kakuna,,Fire,Rare,"[{""name"": ""Twineedle"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}, {""name"": ""Poison Sting"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned.""}]",[],"Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail."
base1-18,Dragonair,base1,Pokémon,Stage 1,80,Colorless,Dratini,Colorless|Colorless,,Rare,"[{""name"": ""Slam"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}, {""name"": ""Hyper Beam"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""20"", ""text"": ""If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.""}]",[],A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions.
base1-19,Dugtrio,base1,Pokémon,Stage 1,70,Fighting,Diglett,Colorless|Colorless,Grass,Rare,"[{""name"": ""Slash"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""damage"": ""40"", ""text"": """"}, {""name"": ""Earthquake"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Fighting""], ""damage"": ""70"", ""text"": ""Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",[],A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
base1-20,Electabuzz,base1,Pokémon,Basic,70,Lightning,,Colorless|Colorless,Fighting,Rare,"[{""name"": ""Thundershock"", ""cost"": [""Lightning""], ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Thunderpunch"", ""cost"": [""Lightning"", ""Colorless""], ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Electabuzz does 10 damage to itself.""}]",[],"Normally found near power plants, it can wander away and cause major blackouts in cities."
base1-21,Electrode,base1,Pokémon,Stage 1,80,Lightning,Voltorb,Colorless,Fighting,Rare,"[{""name"": ""Electric Shock"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning""], ""damage"": ""50"", ""text"": ""Flip a coin. If tails, Electrode does 10 damage to itself.""}]","[{""name"": ""Buzzap"", ""type"": ""Pokémon Power"", ""text"": ""At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokémon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed.""}]",It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base1-22,Pidgeotto,base1,Pokémon,Stage 1,60,Colorless,Pidgey,Colorless,Lightning,Rare,"[{""name"": ""Whirlwind"", ""cost"": [""Colorless"", ""Colorless""], ""damage"": ""20"", ""text"": ""If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)""}, {""name"": ""Mirror Move"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokémon.""}]",[],"Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder."
base1-23,Arcanine,base1,Pokémon,Stage 1,100,Fire,Growlithe,Colorless|Colorless|Colorless,Water,Uncommon,"[{""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""damage"": ""50"", ""text"": ""Discard 1 Fire Energy card attached to Arcanine in order to use this attack.""}, {""name"": ""Take Down"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""damage"": ""80"", ""text"": ""Arcanine does 30 damage to itself.""}]",[],"A Pokémon that has been long admired for its beauty. It runs gracefully, as if on wings."
base1-24,Charmeleon,base1,Pokémon,Stage 1,80,Fire,Charmander,Colorless,Water,Uncommon,"[{""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""30"", ""text"": """"}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""damage"": ""50"", ""text"": ""Discard 1 Fire Energy card attached to Charmeleon in order to use this attack.""}]",[],"When it swings its burning tail, it raises the temperature to unbearably high levels."
base1-25,Dewgong,base1,Pokémon,Stage 1,80,Water,Seel,Colorless|Colorless|Colorless,Lightning,Uncommon,"[{""name"": ""Aurora Beam"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""damage"": ""50"", ""text"": """"}, {""name"": ""Ice Beam"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",[],Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
base1-26,Dratini,base1,Pokémon,Basic,40,Colorless,,Colorless,,Uncommon,"[{""name"": ""Pound"", ""cost"": [""Colorless""], ""damage"": ""10"", ""text"": """"}]",[],"Long considered a mythical Pokémon until recently, when a small colony was found living underwater."
base1-27,Farfetch'd,base1,Pokémon,Basic,50,Colorless,,Colorless,Lightning,Uncommon,"[{""name"": ""Leek Slap"", ""cost"": [""Colorless""], ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again).""}, {""name"": ""Pot Smash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""30"", ""text"": """"}]",[],The sprig of green onions it holds is its weapon. This sprig is used much like a metal sword.
base1-28,Growlithe,base1,Pokémon,Basic,60,Fire,,Colorless,Water,Uncommon,"[{""name"": ""Flare"", ""cost"": [""Fire"", ""Colorless""], ""damage"": ""20"", ""text"": """"}]",[],Very protective of its territory. It will bark and bite to repel intruders from its space.
base1-29,Haunter,base1,Pokémon,Stage 1,60,Psychic,Gastly,Colorless,,Uncommon,"[{""name"": ""Hypnosis"", ""cost"": [""Psychic""], ""damage"": """", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Dream Eater"", ""cost"": [""Psychic"", ""Psychic""], ""damage"": ""50"", ""text"": ""You can't use this attack unless the Defending Pokémon is Asleep.""}]",[],"Because of its ability to slip through block walls, it is said to be from another dimension."
base1-30,Ivysaur,base1,Pokémon,Stage 1,60,Grass,Bulbasaur,Colorless,Fire,Uncommon,"[{""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""damage"": ""30"", ""text"": """"}, {""name"": ""Poisonpowder"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",[],"When the bulb on its back grows large, the Pokémon seems to lose the ability to stand on its hind legs."
base1-31,Jynx,base1,Pokémon,Basic,70,Psychic,,Colorless|Colorless,Psychic,Uncommon,"[{""name"": ""Doubleslap"", ""cost"": [""Psychic""], ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage times the number of heads.""}, {""name"": ""Meditate"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each damage counter on the Defending Pokémon.""}]",[],"Merely by meditating, the Pokémon launches a powerful psychic energy attack."
base1-32,Kadabra,base1,Pokémon,Stage 1,60,Psychic,Abra,Colorless|Colorless|Colorless,Psychic,Uncommon,"[{""name"": ""Recover"", ""cost"": [""Psychic"", ""Psychic""], ""damage"": """", ""text"": ""Discard 1 Psychic Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra.""}, {""name"": ""Super Psy"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""damage"": ""50"", ""text"": """"}]",[],It emits special alpha waves from its body that induce headaches even to those just nearby.
base1-33,Kakuna,base1,Pokémon,Stage 1,80,Grass,Weedle,Colorless|Colorless,Fire,Uncommon,"[{""name"": ""Stiffen"", ""cost"": [""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.)""}, {""name"": ""Poisonpowder"", ""cost"": [""Grass"", ""Grass""], ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned.""}]",[],"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators."
base1-34,Machoke,base1,Pokémon,Stage 1,80,Fighting,Machop,Colorless|Colorless|Colorless,Psychic,Uncommon,"[{""name"": ""Karate Chop"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""damage"": ""50-"", ""text"": ""Does 50 damage minus 10 damage for each damage counter on Machoke.""}, {""name"": ""Submission"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""damage"": ""60"", ""text"": ""Machoke does 20 damage to itself.""}]",[],Its muscular body is so powerful that it must wear a power-save belt to help regulate its motions.
base1-35,Magikarp,base1,Pokémon,Basic,30,Water,,Colorless,Lightning,Uncommon,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""damage"": ""10"", ""text"": """"}, {""name"": ""Flail"", ""cost"": [""Water""], ""damage"": ""10×"", ""text"": ""Does 10 damage times the number of damage counters on Magikarp.""}]",[],"In the distant past, it was stronger than its horribly weak descendants that exist today."
base1-36,Magmar,base1,Pokémon,Basic,50,Fire,,Colorless|Colorless,Water,Uncommon,"[{""name"": ""Fire Punch"", ""cost"": [""Fire"", ""Fire""], ""damage"": ""30"", ""text"": """"}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""damage"": ""50"", ""text"": ""Discard 1 Fire Energy card attached to Magmar in order to use this attack.""}]",[],Its body always burns with an orange glow that enables it to hide perfectly among flames.
base1-37,Nidorino,base1,Pokémon,Stage 1,60,Grass,Nidoran ♂,Colorless,Psychic,Uncommon,"[{""name"": ""Double Kick"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}, {""name"": ""Horn Drill"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""damage"": ""50"", ""text"": """"}]",[],An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.
base1-38,Poliwhirl,base1,Pokémon,Stage 1,60,Water,Poliwag,Colorless,Grass,Uncommon,"[{""name"": ""Amnesia"", ""cost"": [""Water"", ""Water""], ""damage"": """", ""text"": ""Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.""}, {""name"": ""Doubleslap"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}]",[],"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
base1-39,Porygon,base1,Pokémon,Basic,30,Colorless,,Colorless,Fighting,Uncommon,"[{""name"": ""Conversion 1"", ""cost"": [""Colorless""], ""damage"": """", ""text"": ""If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless.""}, {""name"": ""Conversion 2"", ""cost"": [""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""Change Porygon's Resistance to a type of your choice other than Colorless.""}]",[],A Pokémon that consists entirely of programming code. Capable of moving freely in cyberspace.
base1-40,Raticate,base1,Pokémon,Stage 1,60,Colorless,Rattata,Colorless,Fighting,Uncommon,"[{""name"": ""Bite"", ""cost"": [""Colorless""], ""damage"": ""20"", ""text"": """"}, {""name"": ""Super Fang"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""damage"": ""?"", ""text"": ""Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).""}]",[],It uses its whiskers to maintain its balance. It seems to slow down if they are cut off.
base1-41,Seel,base1,Pokémon,Basic,60,Water,,Colorless,Lightning,Uncommon,"[{""name"": ""Headbutt"", ""cost"": [""Water""], ""damage"": ""10"", ""text"": """"}]",[],The protruding horn on its head is very hard. This horn is used for bashing through thick ice.
base1-42,Wartortle,base1,Pokémon,Stage 1,70,Water,Squirtle,Colorless,Lightning,Uncommon,"[{""name"": ""Withdraw"", ""cost"": [""Water"", ""Colorless""], ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.)""}, {""name"": ""Bite"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""damage"": ""40"", ""text"": """"}]",[],"Often hides in water to stalk unweary prey. When swimming quickly, it moves its ears to maintain balance."
base1-43,Abra,base1,Pokémon,Basic,30,Psychic,,,Psychic,Common,"[{""name"": ""Psyshock"", ""cost"": [""Psychic""], ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",[],"Using its ability to read minds, it will identify impending danger and teleport to safety."
base1-44,Bulbasaur,base1,Pokémon,Basic,40,Grass,,Colorless,Fire,Common,"[{""name"": ""Leech Seed"", ""cost"": [""Grass"", ""Grass""], ""damage"": ""20"", ""text"": ""Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.""}]",[],"A strange seed was planted on its back at birth. Thus, a plant sprouted and now grows with this Pokémon."
base1-45,Caterpie,base1,Pokémon,Basic,40,Grass,,Colorless,Fire,Common,"[{""name"": ""String Shot"", ""cost"": [""Grass""], ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",[],Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
base1-46,Charmander,base1,Pokémon,Basic,50,Fire,,Colorless,Water,Common,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""damage"": ""10"", ""text"": """"}, {""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""damage"": ""30"", ""text"": ""Discard 1 Fire Energy card attached to Charmander in order to use this attack.""}]",[],"Obviously prefers hot places. If it gets caught in the rain, steam is said to spout from the tip of its tail."
base1-47,Diglett,base1,Pokémon,Basic,30,Fighting,,,Grass,Common,"[{""name"": ""Dig"", ""cost"": [""Fighting""], ""damage"": ""10"", ""text"": """"}, {""name"": ""Mud Slap"", ""cost"": [""Fighting"", ""Fighting""], ""damage"": ""30"", ""text"": """"}]",[],"Lives about three feet underground, where it feeds on plant roots. It sometimes appears above ground."
base1-48,Doduo,base1,Pokémon,Basic,50,Colorless,,,Lightning,Common,"[{""name"": ""Fury Attack"", ""cost"": [""Colorless""], ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage times the number of heads.""}]",[],A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
base1-49,Drowzee,base1,Pokémon,Basic,50,Psychic,,Colorless,Psychic,Common,"[{""name"": ""Pound"", ""cost"": [""Colorless""], ""damage"": ""10"", ""text"": """"}, {""name"": ""Confuse Ray"", ""cost"": [""Psychic"", ""Psychic""], ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",[],"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams."
base1-50,Gastly,base1,Pokémon,Basic,30,Psychic,,,,Common,"[{""name"": ""Sleeping Gas"", ""cost"": [""Psychic""], ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}, {""name"": ""Destiny Bond"", ""cost"": [""Psychic"", ""Colorless""], ""damage"": """", ""text"": ""Discard 1 Psychic Energy card attached to Gastly in order to use this attack. If a Pokémon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokémon.""}]",[],"Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice."
base1-51,Koffing,base1,Pokémon,Basic,50,Grass,,Colorless,Psychic,Common,"[{""name"": ""Foul Gas"", ""cost"": [""Grass"", ""Grass""], ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned; if tails, it is now Confused.""}]",[],"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
base1-52,Machop,base1,Pokémon,Basic,50,Fighting,,Colorless,Psychic,Common,"[{""name"": ""Low Kick"", ""cost"": [""Fighting""], ""damage"": ""20"", ""text"": """"}]",[],Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
base1-53,Magnemite,base1,Pokémon,Basic,40,Lightning,,Colorless,Fighting,Common,"[{""name"": ""Thunder Wave"", ""cost"": [""Lightning""], ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Selfdestruct"", ""cost"": [""Lightning"", ""Colorless""], ""damage"": ""40"", ""text"": ""Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magnemite does 40 damage to itself.""}]",[],Uses anti-gravity to stay suspended. Appears without warning and uses attacks like Thunder Wave.
base1-54,Metapod,base1,Pokémon,Stage 1,70,Grass,Caterpie,Colorless|Colorless,Fire,Common,"[{""name"": ""Stiffen"", ""cost"": [""Colorless"", ""Colorless""], ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.)""}, {""name"": ""Stun Spore"", ""cost"": [""Grass"", ""Grass""], ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",[],"It is vulnerable to attack because its shell is soft, exposing its weak and tender body."
base1-55,Nidoran ♂,base1,Pokémon,Basic,40,Grass,,Colorless,Psychic,Common,"[{""name"": ""Horn Hazard"", ""cost"": [""Grass""], ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",[],"Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom."
